FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
122,2.1667074,2.0000407,2.0000407,2.1667074,25.1666898,25.1666898,25.3333565,25.3333565
123,2.3333741,2.1667074,2.1667074,2.3333741,25.1666898,25.1666898,25.3333565,25.3333565
124,2.5000408,2.3333741,2.3333741,2.5000408,25.1666898,25.1666898,25.3333565,25.3333565
125,2.6667075,2.5000408,2.5000408,2.6667075,25.1666898,25.1666898,25.3333565,25.3333565
126,2.8333742,2.6667075,2.6667075,2.8333742,25.1666898,25.1666898,25.3333565,25.3333565
127,3.0000409,2.8333742,2.8333742,3.0000409,25.1666898,25.1666898,25.3333565,25.3333565
128,3.1667076,3.0000409,3.0000409,3.1667076,25.1666898,25.1666898,25.3333565,25.3333565
129,3.3333743,3.1667076,3.1667076,3.3333743,25.1666898,25.1666898,25.3333565,25.3333565
130,3.500041,3.3333743,3.3333743,3.500041,25.1666898,25.1666898,25.3333565,25.3333565
131,3.6667077,3.500041,3.500041,3.6667077,25.1666898,25.1666898,25.3333565,25.3333565
132,3.8333744,3.6667077,3.6667077,3.8333744,25.1666898,25.1666898,25.3333565,25.3333565
133,4.0000411,3.8333744,3.8333744,4.0000411,25.1666898,25.1666898,25.3333565,25.3333565
134,4.1667078,4.0000411,4.0000411,4.1667078,25.1666898,25.1666898,25.3333565,25.3333565
135,4.3333745,4.1667078,4.1667078,4.3333745,25.1666898,25.1666898,25.3333565,25.3333565
136,4.5000412,4.3333745,4.3333745,4.5000412,25.1666898,25.1666898,25.3333565,25.3333565
137,4.6667079,4.5000412,4.5000412,4.6667079,25.1666898,25.1666898,25.3333565,25.3333565
138,4.8333746,4.6667079,4.6667079,4.8333746,25.1666898,25.1666898,25.3333565,25.3333565
139,5.0000413,4.8333746,4.8333746,5.0000413,25.1666898,25.1666898,25.3333565,25.3333565
140,5.166708,5.0000413,5.0000413,5.166708,25.1666898,25.1666898,25.3333565,25.3333565
141,5.3333747,5.166708,5.166708,5.3333747,25.1666898,25.1666898,25.3333565,25.3333565
142,5.5000414,5.3333747,5.3333747,5.5000414,25.1666898,25.1666898,25.3333565,25.3333565
143,5.6667081,5.5000414,5.5000414,5.6667081,25.1666898,25.1666898,25.3333565,25.3333565
144,5.8333748,5.6667081,5.6667081,5.8333748,25.1666898,25.1666898,25.3333565,25.3333565
145,6.0000415,5.8333748,5.8333748,6.0000415,25.1666898,25.1666898,25.3333565,25.3333565
146,6.1667082,6.0000415,6.0000415,6.1667082,25.1666898,25.1666898,25.3333565,25.3333565
147,6.3333749,6.1667082,6.1667082,6.3333749,25.1666898,25.1666898,25.3333565,25.3333565
148,6.5000416,6.3333749,6.3333749,6.5000416,25.1666898,25.1666898,25.3333565,25.3333565
149,6.6667083,6.5000416,6.5000416,6.6667083,25.1666898,25.1666898,25.3333565,25.3333565
150,6.833375,6.6667083,6.6667083,6.833375,25.1666898,25.1666898,25.3333565,25.3333565
151,7.0000417,6.833375,6.833375,7.0000417,25.1666898,25.1666898,25.3333565,25.3333565
152,7.1667084,7.0000417,7.0000417,7.1667084,25.1666898,25.1666898,25.3333565,25.3333565
153,7.3333751,7.1667084,7.1667084,7.3333751,25.1666898,25.1666898,25.3333565,25.3333565
154,7.5000418,7.3333751,7.3333751,7.5000418,25.1666898,25.1666898,25.3333565,25.3333565
155,7.6667085,7.5000418,7.5000418,7.6667085,25.1666898,25.1666898,25.3333565,25.3333565
156,7.8333752,7.6667085,7.6667085,7.8333752,25.1666898,25.1666898,25.3333565,25.3333565
157,8.0000419,7.8333752,7.8333752,8.0000419,25.1666898,25.1666898,25.3333565,25.3333565
158,8.1667086,8.0000419,8.0000419,8.1667086,25.1666898,25.1666898,25.3333565,25.3333565
